Mean,SD,HDI_5,HDI_95,Effect,Sex,Question
0.17,0.051,0.081,0.246,Mediator,Female,Q9
0.119,0.048,-0.013,0.153,Mediator,Female,Q1
0.127,0.053,0.045,0.204,Mediator,Female,Q8
0.12,0.052,0.004,0.171,Mediator,Female,Q2
0.07,0.046,0.047,0.217,Mediator,Female,Q3
0.088,0.043,-0.049,0.137,Mediator,Female,Q7
0.111,0.046,0.037,0.205,Mediator,Female,Q4
0.031,0.029,-0.02,0.172,Mediator,Female,Q5
0.044,0.024,-0.002,0.148,Mediator,Female,Q6
0.069,0.052,-0.015,0.13,Mediator,Male,Q9
0.088,0.053,0.009,0.148,Mediator,Male,Q1
0.05,0.056,0.017,0.192,Mediator,Male,Q8
0.079,0.059,0.038,0.185,Mediator,Male,Q2
0.06,0.046,-0.001,0.16,Mediator,Male,Q3
0.106,0.052,-0.013,0.073,Mediator,Male,Q7
0.08,0.05,-0.034,0.083,Mediator,Male,Q4
0.028,0.036,0.008,0.087,Mediator,Male,Q5
0.013,0.035,-0.039,0.068,Mediator,Male,Q6
0.069,0.074,-0.055,0.182,Direct,Female,Q9
0.096,0.075,0.004,0.316,Direct,Female,Q1
-0.112,0.087,-0.023,0.219,Direct,Female,Q8
0.159,0.083,-0.03,0.258,Direct,Female,Q2
0.106,0.077,-0.256,0.031,Direct,Female,Q3
0.263,0.096,-0.126,0.221,Direct,Female,Q7
0.104,0.072,0.031,0.294,Direct,Female,Q4
0.074,0.057,-0.049,0.276,Direct,Female,Q5
0.122,0.072,-0.01,0.242,Direct,Female,Q6
0.155,0.095,0.032,0.336,Direct,Male,Q9
0.114,0.091,0.106,0.41,Direct,Male,Q1
0.069,0.106,0.068,0.375,Direct,Male,Q8
0.123,0.098,-0.011,0.217,Direct,Male,Q2
0.197,0.096,0.116,0.437,Direct,Male,Q3
0.227,0.097,-0.008,0.157,Direct,Male,Q7
0.267,0.1,0.03,0.302,Direct,Male,Q4
0.153,0.091,0.023,0.223,Direct,Male,Q5
0.194,0.1,0.04,0.334,Direct,Male,Q6
-0.00143,0.0011,-0.00303,4e-05,Indirect,Female,Q9
-0.00099,0.0008,-0.00342,0.00049,Indirect,Female,Q1
-0.00106,0.00089,-0.00227,9e-05,Indirect,Female,Q8
-0.001,0.00087,-0.00374,0.00015,Indirect,Female,Q2
-0.00059,0.00062,-0.00252,7e-05,Indirect,Female,Q3
-0.00073,0.00066,-0.00308,0.00111,Indirect,Female,Q7
-0.00092,0.00076,-0.00223,0.0001,Indirect,Female,Q4
-0.00025,0.00033,-0.00395,0.00051,Indirect,Female,Q5
-0.00037,0.00036,-0.00159,0.0002,Indirect,Female,Q6
-0.00139,0.00137,-0.00309,0.00038,Indirect,Male,Q9
-0.00171,0.00133,-0.00162,9e-05,Indirect,Male,Q1
-0.00104,0.00137,-0.00438,-1e-05,Indirect,Male,Q8
-0.00159,0.00149,-0.00203,4e-05,Indirect,Male,Q2
-0.00119,0.00118,-0.00376,0.00015,Indirect,Male,Q3
-0.00212,0.00151,-0.00071,0.00021,Indirect,Male,Q7
-0.00159,0.00136,-0.0017,0.00088,Indirect,Male,Q4
-0.00053,0.00085,-0.00093,7e-05,Indirect,Male,Q5
-0.00026,0.00075,-0.00156,0.00083,Indirect,Male,Q6
0.067,0.074,-0.056,0.182,Total,Female,Q9
0.095,0.075,0.002,0.315,Total,Female,Q1
-0.113,0.087,-0.023,0.22,Total,Female,Q8
0.158,0.083,-0.031,0.256,Total,Female,Q2
0.106,0.077,-0.258,0.03,Total,Female,Q3
0.262,0.096,-0.127,0.221,Total,Female,Q7
0.103,0.072,0.03,0.293,Total,Female,Q4
0.074,0.057,-0.049,0.275,Total,Female,Q5
0.121,0.072,-0.011,0.241,Total,Female,Q6
0.154,0.095,0.029,0.335,Total,Male,Q9
0.112,0.091,0.106,0.41,Total,Male,Q1
0.068,0.106,0.066,0.374,Total,Male,Q8
0.122,0.098,-0.004,0.224,Total,Male,Q2
0.196,0.096,0.109,0.428,Total,Male,Q3
0.225,0.097,-0.006,0.158,Total,Male,Q7
0.265,0.1,0.021,0.293,Total,Male,Q4
0.153,0.091,0.024,0.225,Total,Male,Q5
0.193,0.1,0.039,0.333,Total,Male,Q6
