,mean,sd,hdi_5,hdi_95,comment
MAE,0.77,0.01,0.76,0.78,"On average, our predictions are ±0.77 categories away from the true values"
concordance,0.79,0.0,0.79,0.8,79.0% of predictions are within one category of the true value
kappa,0.12,0.01,0.11,0.13,Our predictions agree with true values 12.0% better than random chance. Note that Kappa penalizes more for larger disagreements (weighted by squared distance)
coefficients,-0.23,0.61,-0.92,0.8,95% of all coefficients well within prior ranges
