Gender,Income,m_0,90%HDI_0,m_1,90%HDI_1,m_2,90%HDI_2,m_3,90%HDI_3
Female,Inc1,0.66,"0.61, 0.72",0.2,"0.17, 0.23",0.09,"0.06, 0.11",0.05,"0.03, 0.07"
Female,Inc2,0.61,"0.56, 0.67",0.22,"0.19, 0.25",0.1,"0.08, 0.13",0.06,"0.04, 0.08"
Female,Inc3,0.65,"0.6, 0.71",0.2,"0.17, 0.24",0.09,"0.07, 0.12",0.05,"0.04, 0.07"
Female,Inc4,0.7,"0.64, 0.75",0.18,"0.15, 0.22",0.08,"0.05, 0.1",0.04,"0.03, 0.06"
Female,Inc5,0.69,"0.64, 0.75",0.19,"0.15, 0.22",0.08,"0.05, 0.1",0.04,"0.03, 0.06"
Male,Inc1,0.66,"0.6, 0.72",0.2,"0.17, 0.24",0.09,"0.06, 0.11",0.05,"0.03, 0.07"
Male,Inc2,0.69,"0.64, 0.74",0.18,"0.15, 0.22",0.08,"0.06, 0.1",0.05,"0.03, 0.06"
Male,Inc3,0.74,"0.69, 0.79",0.16,"0.13, 0.19",0.06,"0.04, 0.08",0.04,"0.02, 0.05"
Male,Inc4,0.79,"0.75, 0.83",0.14,"0.11, 0.16",0.05,"0.03, 0.06",0.03,"0.02, 0.04"
Male,Inc5,0.77,"0.72, 0.81",0.15,"0.12, 0.18",0.05,"0.04, 0.07",0.03,"0.02, 0.04"
