Effect,Sex,Mean,SD,HDI_5,HDI_95
Mediator,Female,0.098,0.061,0.003,0.194
Mediator,Male,0.064,0.057,-0.024,0.159
Direct,Female,0.098,0.121,-0.082,0.338
Direct,Male,0.167,0.113,-0.001,0.368
Indirect,Female,-0.00082,0.00082,-0.00207,0.00015
Indirect,Male,-0.00127,0.00139,-0.00343,0.00072
Total,Female,0.097,0.121,-0.083,0.337
Total,Male,0.165,0.113,-0.008,0.36
