Wave,Gender,Threshold,Income,Posterior_Prob,90HDI,Observed,N
Wave6,Female,Mod-Severe,Inc5,0.000,"[0.000, 1.000]",3.000,86
Wave6,Female,Severe,Inc1,0.000,"[0.000, 1.000]",5.000,128
Wave6,Female,Severe,Inc2,0.000,"[0.000, 0.000]",3.000,75
Wave6,Female,Severe,Inc3,0.000,"[0.000, 0.000]",1.000,84
Wave6,Female,Severe,Inc4,0.000,"[0.000, 0.000]",0.000,102
Wave6,Female,Severe,Inc5,0.000,"[0.000, 0.000]",1.000,86
Wave6,Male,None,Inc1,41.000,"[34.000, 48.000]",54.000,82
Wave6,Male,None,Inc2,56.000,"[50.000, 62.000]",66.000,94
Wave6,Male,None,Inc3,61.000,"[55.000, 67.000]",56.000,86
Wave6,Male,None,Inc4,76.000,"[69.000, 81.000]",76.000,95
Wave6,Male,None,Inc5,70.000,"[64.000, 76.000]",77.000,107
Wave6,Male,Mild,Inc1,36.000,"[28.000, 45.000]",18.000,82
Wave6,Male,Mild,Inc2,31.000,"[23.000, 38.000]",19.000,94
Wave6,Male,Mild,Inc3,29.000,"[22.000, 36.000]",23.000,86
Wave6,Male,Mild,Inc4,20.000,"[15.000, 26.000]",15.000,95
Wave6,Male,Mild,Inc5,24.000,"[19.000, 30.000]",16.000,107
Wave6,Male,Moderate,Inc1,20.000,"[13.000, 27.000]",13.000,82
Wave6,Male,Moderate,Inc2,12.000,"[7.000, 17.000]",10.000,94
Wave6,Male,Moderate,Inc3,9.000,"[5.000, 14.000]",12.000,86
Wave6,Male,Moderate,Inc4,4.000,"[1.000, 7.000]",6.000,95
Wave6,Male,Moderate,Inc5,5.000,"[2.000, 8.000]",0.000,107
Wave6,Male,Mod-Severe,Inc1,2.000,"[0.000, 6.000]",6.000,82
Wave6,Male,Mod-Severe,Inc2,1.000,"[0.000, 3.000]",4.000,94
Wave6,Male,Mod-Severe,Inc3,1.000,"[0.000, 2.000]",6.000,86
Wave6,Male,Mod-Severe,Inc4,0.000,"[0.000, 1.000]",2.000,95
Wave6,Male,Mod-Severe,Inc5,0.000,"[0.000, 1.000]",4.000,107
Wave6,Male,Severe,Inc1,0.000,"[0.000, 0.000]",9.000,82
Wave6,Male,Severe,Inc2,0.000,"[0.000, 0.000]",1.000,94
Wave6,Male,Severe,Inc3,0.000,"[0.000, 0.000]",3.000,86
Wave6,Male,Severe,Inc4,0.000,"[0.000, 0.000]",1.000,95
Wave6,Male,Severe,Inc5,0.000,"[0.000, 0.000]",4.000,107
