Score,Gender,Income,Age-range,Mean,SD,HDI_5%,HDI_95%
S0,Female,Inc1,18-34,0.7459225473173663,0.008044078249463208,0.7323276181590521,0.7585669468971191
S1,Female,Inc1,18-34,0.16077646305392432,0.006767729789825007,0.14982604331025562,0.17188987879997467
S2,Female,Inc1,18-34,0.06144231744249143,0.00429831860270521,0.054370538045855336,0.06831041871567499
S3,Female,Inc1,18-34,0.03185867218621798,0.0030766356797102394,0.0267030851722014,0.03667218908690969
S0,Male,Inc1,18-34,0.7771713238798604,0.007974935494999752,0.7646122322069905,0.7910493128539451
S1,Male,Inc1,18-34,0.1411284109825848,0.006319048289703921,0.13065149565239995,0.15138709356591692
S2,Male,Inc1,18-34,0.05487123049622264,0.004175489244114181,0.04815420141190364,0.06179422303504005
S3,Male,Inc1,18-34,0.026829034641332156,0.002844506845860329,0.02244076526964452,0.03180327908180536
S0,Female,Inc2,18-34,0.6997741577140482,0.009410741863098182,0.6842301653022228,0.7152289384336362
S1,Female,Inc2,18-34,0.18216268934225963,0.007922569731527617,0.16987502383770783,0.19541252885255034
S2,Female,Inc2,18-34,0.0710372741436275,0.005371177816076669,0.062008027159573625,0.07967995644252185
S3,Female,Inc2,18-34,0.04702587880006459,0.004418546865512712,0.03932359720994438,0.05365442512511444
S0,Male,Inc2,18-34,0.7558078415664644,0.007143355486457409,0.7446956201495474,0.767980377603408
S1,Male,Inc2,18-34,0.15237824374353692,0.006071744463730728,0.14252751131254365,0.1623100158684424
S2,Male,Inc2,18-34,0.05641316381817028,0.003929669881606424,0.050194107296672376,0.06317059549074687
S3,Male,Inc2,18-34,0.03540075087182845,0.0029290198288151495,0.03090167281440404,0.040455705338328624
S0,Female,Inc3,18-34,0.7741256733676468,0.007185041372497192,0.7631840925768837,0.7867107003577224
S1,Female,Inc3,18-34,0.14026813087626733,0.005737961284035937,0.13136389007612956,0.150129243009784
S2,Female,Inc3,18-34,0.0512914479265868,0.0034196679385420973,0.04599042466107607,0.05720311095893423
S3,Female,Inc3,18-34,0.03431474782949898,0.0027467707985422626,0.02981098782981903,0.038759324401129155
S0,Male,Inc3,18-34,0.7585322169253975,0.006847650083514285,0.7478543619016599,0.7700440853567242
S1,Male,Inc3,18-34,0.1528111255995875,0.005729600330721975,0.14278952896095096,0.16188786067183972
S2,Male,Inc3,18-34,0.05261388840843796,0.003499823493696085,0.04692512208262039,0.05844191353145463
S3,Male,Inc3,18-34,0.03604276906657711,0.0028041359451645414,0.03138993901795665,0.04058081572418386
S0,Female,Inc4,18-34,0.6865561753846217,0.007884502447442853,0.6731941111827903,0.6992393905945752
S1,Female,Inc4,18-34,0.1883022280943484,0.006639178453046478,0.1776880229934354,0.19945422983062797
S2,Female,Inc4,18-34,0.07436412183467371,0.004347709221247337,0.06715481180345752,0.08139409760541053
S3,Female,Inc4,18-34,0.05077747468635631,0.003647437360427372,0.04475212264729413,0.056734553847202815
S0,Male,Inc4,18-34,0.7379363736163456,0.007004957866543,0.726326428723973,0.7495255281762527
S1,Male,Inc4,18-34,0.1603596666755086,0.0058640651996715275,0.15133692215802397,0.17060435902379806
S2,Male,Inc4,18-34,0.06106495926139051,0.003615503295580903,0.05536057715953042,0.0672285588255587
S3,Male,Inc4,18-34,0.04063900044675532,0.0029741353284342266,0.03586973101522463,0.04560778953523498
S0,Female,Inc5,18-34,0.5583614998252799,0.007536585072472424,0.5463008328369346,0.5711454821550976
S1,Female,Inc5,18-34,0.25552469477225,0.006019589011414995,0.24582877930642294,0.26560224136211635
S2,Female,Inc5,18-34,0.1093590126686118,0.004654273128271702,0.10206926689716452,0.11728798686880573
S3,Female,Inc5,18-34,0.0767547927338583,0.004163717136364531,0.06951617651427217,0.08327365906774847
S0,Male,Inc5,18-34,0.5148019218009509,0.007694208344095762,0.5017931792920874,0.5272281592443966
S1,Male,Inc5,18-34,0.2748701831896511,0.006921475022042859,0.26386652124570625,0.28643769652375267
S2,Male,Inc5,18-34,0.1230177185266617,0.005415645277897257,0.11412417459063187,0.13191913646506154
S3,Male,Inc5,18-34,0.08731017648273642,0.004972122698351447,0.07894304048995135,0.09514511603441096
S0,Female,Inc1,35-49,0.7328313029659643,0.007399740204723683,0.7204607397130556,0.7445374372314101
S1,Female,Inc1,35-49,0.1702763161606212,0.006570901408327732,0.15950905909236762,0.1806216938553758
S2,Female,Inc1,35-49,0.063928673397752,0.004061065333243447,0.057534817633337204,0.07072641752289541
S3,Female,Inc1,35-49,0.032963707475662574,0.002859648588045858,0.027940876692146028,0.037353427890797014
S0,Male,Inc1,35-49,0.7636741909200541,0.007743963625455196,0.7510715337149302,0.7762084651705672
S1,Male,Inc1,35-49,0.15790428259668057,0.006575517125188556,0.14744889981305462,0.1685034982846241
S2,Male,Inc1,35-49,0.053205074841836765,0.003650536545973978,0.04707431693999007,0.059059867510049914
S3,Male,Inc1,35-49,0.025216451641428498,0.002326632274534992,0.021518992812451624,0.029076151476745516
S0,Female,Inc2,35-49,0.6917967494380364,0.008866014374403859,0.6761818869497532,0.705628213397483
S1,Female,Inc2,35-49,0.1893966513359972,0.007664041554134421,0.1773867081030314,0.20227334740651934
S2,Female,Inc2,35-49,0.07080456199617782,0.004923347082000864,0.06329937222590942,0.079392279086643
S3,Female,Inc2,35-49,0.04800203722978847,0.0040760753751445744,0.04132940250142119,0.05473783907156934
S0,Male,Inc2,35-49,0.7116256330502574,0.0076270897673241115,0.6992388469924419,0.7240766126138547
S1,Male,Inc2,35-49,0.1815258780836406,0.006678274033600511,0.17080739525767752,0.19282298700175554
S2,Male,Inc2,35-49,0.063942316509914,0.004160903270535238,0.057098626018425795,0.07076614406742929
S3,Male,Inc2,35-49,0.0429061723561879,0.0032753266365976837,0.03735536297347629,0.04799843918502729
S0,Female,Inc3,35-49,0.7704296460703399,0.007445598458069172,0.759093890752357,0.7834495696989292
S1,Female,Inc3,35-49,0.14496723347373933,0.006071850688946391,0.13542962804929137,0.15557252792516643
S2,Female,Inc3,35-49,0.05070342686517468,0.0035747076978489066,0.045034509621186505,0.056588046394740604
S3,Female,Inc3,35-49,0.03389969359074608,0.0028531179140529727,0.029084975695491073,0.03833262466555467
S0,Male,Inc3,35-49,0.7706717204712659,0.006599167839445701,0.7600071261583722,0.7814609628730625
S1,Male,Inc3,35-49,0.14311949981597696,0.00547421860776752,0.1338909426755579,0.15186961383810868
S2,Male,Inc3,35-49,0.05096918487867682,0.0032088297486326457,0.04583203274509988,0.056277246191035336
S3,Male,Inc3,35-49,0.03523959483408043,0.0025979486760666208,0.031027120286874987,0.03935094882919792
S0,Female,Inc4,35-49,0.6684093341869629,0.006331956734027461,0.6579028090723837,0.6788057120040158
S1,Female,Inc4,35-49,0.19592169043878335,0.005531655663053021,0.18712918417553198,0.205369952758683
S2,Female,Inc4,35-49,0.08073985651934067,0.0038380764756049054,0.07426581936401401,0.08697437735028316
S3,Female,Inc4,35-49,0.05492911885491298,0.0033017674293974696,0.049444874491930274,0.06025647100394491
S0,Male,Inc4,35-49,0.6822046417824914,0.007126763889716469,0.6701935481725554,0.6933585982468858
S1,Male,Inc4,35-49,0.19152049898855342,0.006043474278428891,0.18205668963407617,0.2018304655600302
S2,Male,Inc4,35-49,0.0753776603279634,0.004022963338387649,0.06828432848795882,0.0815197506611584
S3,Male,Inc4,35-49,0.05089719890099171,0.0034448877338117277,0.045202219336118406,0.056504482803697006
S0,Female,Inc5,35-49,0.5116019354179194,0.006643364326733262,0.5019257207544549,0.5236397358863211
S1,Female,Inc5,35-49,0.2754138178981179,0.006121806189347088,0.26519562042962164,0.285495804325418
S2,Female,Inc5,35-49,0.12378777949658508,0.004846766008342252,0.11550920466268677,0.13124264436485153
S3,Female,Inc5,35-49,0.08919646718737757,0.004405719037358009,0.08179918382258998,0.09607107154489421
S0,Male,Inc5,35-49,0.5350461103453659,0.006702137845782268,0.5240655839671365,0.5460470795734889
S1,Male,Inc5,35-49,0.2672169834512944,0.00637739184560838,0.25688690050389457,0.27790709378529643
S2,Male,Inc5,35-49,0.11386384360579686,0.004832963865237266,0.10608711795022308,0.12191536569300446
S3,Male,Inc5,35-49,0.08387306259754282,0.004496065091629784,0.07627969720679964,0.09092038365000321
S0,Female,Inc1,50-64,0.7328313029659643,0.007399740204723683,0.7204607397130556,0.7445374372314101
S1,Female,Inc1,50-64,0.1702763161606212,0.006570901408327732,0.15950905909236762,0.1806216938553758
S2,Female,Inc1,50-64,0.063928673397752,0.004061065333243447,0.057534817633337204,0.07072641752289541
S3,Female,Inc1,50-64,0.032963707475662574,0.002859648588045858,0.027940876692146028,0.037353427890797014
S0,Male,Inc1,50-64,0.7636741909200541,0.007743963625455196,0.7510715337149302,0.7762084651705672
