age,sex,income_level,mean,sd,hdi_5%,hdi_95%
20.0,Male,Inc1,0.30701246163562484,0.09250169480280182,0.1643531481183993,0.4588324249599306
20.0,Male,Inc2,0.21812545871301678,0.020643777669170128,0.1881832730541941,0.24142452750635585
20.0,Male,Inc3,0.1785302144107336,0.019726260036917614,0.1480848612610165,0.2032912988356237
20.0,Male,Inc4,0.16355932001685414,0.040037419824623964,0.0953947729292891,0.22390998718591693
20.0,Male,Inc5,0.13277254522377063,0.053074396736579044,0.053366783985958066,0.20432703623693704
21.0,Male,Inc1,0.30575284552716364,0.09226769271510918,0.16358150420175047,0.4574388427363041
21.0,Male,Inc2,0.2179242144325119,0.020788331839588756,0.1876206946804529,0.24103792156122444
21.0,Male,Inc3,0.17876541251166428,0.019585213837222604,0.14862112875968947,0.20336913637143184
21.0,Male,Inc4,0.1640992827876535,0.04001710846060865,0.0957985260817461,0.22427728772444888
21.0,Male,Inc5,0.13345824474100676,0.05326752111345771,0.05377850549832763,0.20542962292525946
22.0,Male,Inc1,0.30449607788007954,0.09203365579979289,0.16281277731608668,0.45604592627521606
22.0,Male,Inc2,0.21771961715758914,0.020933639164696018,0.18715056874118793,0.24116106151039512
22.0,Male,Inc3,0.17899809118801216,0.01944415171116607,0.14915661675975833,0.20352880438543158
22.0,Male,Inc4,0.16463916708953177,0.03999592665357507,0.09637242627827292,0.22484098437517297
22.0,Male,Inc5,0.13414704668478733,0.053461454785328585,0.05419322157313344,0.2065366149681801
23.0,Male,Inc1,0.30324217333080516,0.0917995922323275,0.16417914862796992,0.45641282365950925
23.0,Male,Inc2,0.21751167945328212,0.021079653431775137,0.1876251713833742,0.2419797769654527
23.0,Male,Inc3,0.1792282353129744,0.01930309784952114,0.14952947093045776,0.2034675903006617
23.0,Male,Inc4,0.16517895295365265,0.03997386866361729,0.09558621382624355,0.2240202079119531
23.0,Male,Inc5,0.13483895894928566,0.053656200117018216,0.05461095117708237,0.20764801331267368
24.0,Male,Inc1,0.3019911463374645,0.09156551012932507,0.16330944153161803,0.454593606974722
24.0,Male,Inc2,0.21730041410389225,0.021226329457291932,0.1870918372489757,0.24187555255423326
24.0,Male,Inc3,0.17945582990057957,0.019162077101058595,0.1502202335954882,0.20374312675167966
24.0,Male,Inc4,0.16571862028628914,0.0399509287672341,0.09617798680326162,0.22438294072942555
24.0,Male,Inc5,0.13553398937177452,0.05385175943436849,0.054985860660283215,0.20876381871061145
25.0,Male,Inc1,0.30074301117947855,0.0913314175479107,0.1624434461395369,0.45277560167726283
25.0,Male,Inc2,0.21708583411120186,0.021373623074230748,0.18569933230505453,0.241114735977482
25.0,Male,Inc3,0.17968086010782638,0.019021114990745967,0.15058684238428877,0.20384457253063754
25.0,Male,Inc4,0.16625814886991896,0.039927101258793465,0.09677229942662946,0.22488081915547742
25.0,Male,Inc5,0.1362321457315742,0.05404813502324845,0.05528286449385034,0.2098840317171502
26.0,Male,Inc1,0.2994977819571949,0.091097322485116,0.16158115609677398,0.4509588554135775
26.0,Male,Inc2,0.21686795269265557,0.021521491118542218,0.18510547933768923,0.24116160366162542
26.0,Male,Inc3,0.17990331123680797,0.0188802377383843,0.15086079540483954,0.2037140686109537
26.0,Male,Inc4,0.16679751836434645,0.03990238045202163,0.09736914689900389,0.22542021497517406
26.0,Male,Inc5,0.13693343574899514,0.05424532912856038,0.05581130211657492,0.2110588351432533
27.0,Male,Inc1,0.2982554725915402,0.09086323287729084,0.16072256495380846,0.449143415696452
27.0,Male,Inc2,0.21664678327951123,0.02166989141482221,0.1860767181871731,0.24253062813257598
27.0,Male,Inc3,0.18012316873681977,0.018739472277674158,0.15085558558232293,0.2032474056778742
27.0,Male,Inc4,0.16733670830785338,0.039876760681516965,0.09744919334312285,0.22546398709786197
27.0,Male,Inc5,0.13763786708427536,0.05444334395324063,0.056186795002635126,0.21213768178347858
28.0,Male,Inc1,0.2970160968236986,0.09062915659953344,0.156539812159804,0.4443487569333905
28.0,Male,Inc2,0.21642233951495995,0.021818782761332433,0.1854854807803358,0.24244628204186786
28.0,Male,Inc3,0.1803404182064517,0.0185988462756996,0.1514724913343083,0.203275637476185
28.0,Male,Inc4,0.167875698118377,0.03985023630428843,0.09796095393090154,0.2258219181436656
28.0,Male,Inc5,0.13834544733651274,0.054642181657255186,0.05656466282260175,0.2132711189556299
29.0,Male,Inc1,0.295779668214812,0.09039510146513854,0.15580403274472407,0.4428770637037978
29.0,Male,Inc2,0.21619463525221652,0.02196812491446441,0.18482116586492703,0.24235863414293052
29.0,Male,Inc3,0.18055504539566325,0.018458388152815405,0.1520468548993662,0.20330207318486732
29.0,Male,Inc4,0.168414467094716,0.03982280170131875,0.0984745525193852,0.22617862348500195
29.0,Male,Inc5,0.13905618404259226,0.05484184435659043,0.056944918556295576,0.21440896395794395
30.0,Male,Inc1,0.29454620014570515,0.09016107522506414,0.15506042549615714,0.44112246848471426
30.0,Male,Inc2,0.21596368455257994,0.02211787857274064,0.18415514046557926,0.2422676890911356
30.0,Male,Inc3,0.18076703620784162,0.018318127102919506,0.15236221323347177,0.20332671188828816
30.0,Male,Inc4,0.16895299441776468,0.03979445127915238,0.09893903796574,0.2265420602289181
30.0,Male,Inc5,0.1397700846761086,0.05504233412223918,0.05762104637981991,0.21569693807558166
31.0,Male,Inc1,0.2933157058166348,0.08992708556741635,0.15430742231618075,0.43955393133981996
31.0,Male,Inc2,0.21572950168346522,0.022268005360438818,0.18348745362189584,0.24217345171456556
31.0,Male,Inc3,0.18097637670184172,0.01817809311408832,0.15253906874665102,0.20322104047391193
31.0,Male,Inc4,0.1694912591517745,0.03976517947150822,0.09925952321508513,0.22690424156580713
31.0,Male,Inc5,0.14048715664628372,0.05524365297918234,0.0580635761068401,0.2166978754377491
32.0,Male,Inc1,0.29208819824706106,0.08969314011695265,0.15343921481552225,0.4376177282396742
32.0,Male,Inc2,0.2154921011164068,0.02241846781091783,0.1836703108759894,0.24282659954920077
32.0,Male,Inc3,0.18118305309400823,0.018038316989548307,0.15298422479888962,0.20337059492733128
32.0,Male,Inc4,0.17002924024564403,0.03973498074091707,0.09958070547656728,0.22726505339812653
32.0,Male,Inc5,0.1412074072968799,0.05544580290536639,0.058469710081737736,0.21784894039054903
33.0,Male,Inc1,0.29086369027544384,0.08945924643460348,0.15281038700690183,0.4358870806080178
33.0,Male,Inc2,0.215251497525033,0.022569229349717244,0.18309541508731136,0.24265273212669514
33.0,Male,Inc3,0.1813870517601786,0.017898830368952248,0.1534959918911829,0.20352673727169124
33.0,Male,Inc4,0.17056691653423645,0.039703849580383956,0.09990258375011885,0.22762448464022977
33.0,Male,Inc5,0.1419308439051081,0.05564878583067705,0.058704731492958184,0.21901898902072447
34.0,Male,Inc1,0.28964219455906137,0.08922541201701219,0.15206634394880064,0.43423101674280973
34.0,Male,Inc2,0.21500770578301448,0.022720254277495595,0.1825191800218409,0.24246710972611407
34.0,Male,Inc3,0.18158835923766697,0.01775966574992311,0.15385648270019325,0.20353657036075323
34.0,Male,Inc4,0.17110426673972515,0.03967178051507526,0.10322414809185776,0.23110385751959728
34.0,Male,Inc5,0.1426574736805321,0.0558526036359092,0.0589406384447303,0.22020487929011556
