,mean,sd,hdi_5,hdi_95,comment
MAE,0.71,0.01,0.7,0.73,"On average, our predictions are ±0.71 categories away from the true values"
concordance,0.82,0.0,0.82,0.83,82.0% of predictions are within one category of the true value
kappa,0.11,0.01,0.1,0.13,Our predictions agree with true values 11.0% better than random chance. Note that Kappa penalizes more for larger disagreements (weighted by squared distance)
coefficients,-0.28,0.62,-1.25,0.85,95% of all coefficients well within prior ranges
