,mean,sd,hdi_5,hdi_95,comment
MAE,0.76,0.01,0.74,0.77,"On average, our predictions are ±0.76 categories away from the true values"
concordance,0.81,0.0,0.8,0.82,81.0% of predictions are within one category of the true value
kappa,0.02,0.01,0.0,0.03,Our predictions agree with true values 2.0% better than random chance. Note that Kappa penalizes more for larger disagreements (weighted by squared distance)
coefficients,-0.32,0.46,-1.12,0.47,Warning: Some coefficients approaching prior boundaries (at 2.5%)
