,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha_2[Male, Dep_9]",-0.465,0.372,-1.08,0.132,0.005,0.003,6605.0,6002.0,1.0
a[Female],0.113,0.025,0.074,0.154,0.0,0.0,10845.0,4971.0,1.0
a[Male],0.143,0.028,0.098,0.188,0.0,0.0,12421.0,5527.0,1.0
"c[Female, Dep_1]",-0.278,0.083,-0.415,-0.14,0.001,0.001,12231.0,4654.0,1.0
"c[Female, Dep_2]",-0.254,0.081,-0.386,-0.121,0.001,0.001,10638.0,5087.0,1.0
"c[Female, Dep_3]",-0.035,0.078,-0.162,0.094,0.001,0.001,10379.0,4896.0,1.0
"c[Female, Dep_4]",-0.297,0.08,-0.423,-0.161,0.001,0.001,11086.0,5131.0,1.0
"c[Female, Dep_5]",-0.294,0.083,-0.427,-0.158,0.001,0.001,11395.0,5916.0,1.0
"c[Female, Dep_6]",-0.501,0.092,-0.649,-0.345,0.001,0.001,11514.0,5463.0,1.0
"c[Female, Dep_7]",-0.327,0.087,-0.472,-0.189,0.001,0.001,11138.0,5226.0,1.0
"c[Female, Dep_8]",-0.541,0.124,-0.754,-0.345,0.001,0.001,11511.0,4718.0,1.0
"c[Female, Dep_9]",-0.646,0.129,-0.856,-0.432,0.001,0.001,12758.0,5004.0,1.0
"c[Male, Dep_1]",-0.291,0.098,-0.46,-0.139,0.001,0.001,11326.0,5569.0,1.0
"c[Male, Dep_2]",-0.238,0.096,-0.397,-0.083,0.001,0.001,11766.0,4898.0,1.0
"c[Male, Dep_3]",-0.163,0.088,-0.308,-0.018,0.001,0.001,12530.0,5461.0,1.0
"c[Male, Dep_4]",-0.213,0.089,-0.364,-0.07,0.001,0.001,12143.0,5461.0,1.0
"c[Male, Dep_5]",-0.443,0.102,-0.601,-0.266,0.001,0.001,11226.0,6005.0,1.0
"c[Male, Dep_6]",-0.393,0.106,-0.566,-0.215,0.001,0.001,10744.0,4862.0,1.0
"c[Male, Dep_7]",-0.46,0.102,-0.627,-0.295,0.001,0.001,11438.0,4951.0,1.0
"c[Male, Dep_8]",-0.544,0.126,-0.751,-0.34,0.001,0.001,11347.0,5461.0,1.0
"c[Male, Dep_9]",-0.591,0.133,-0.814,-0.376,0.001,0.001,11723.0,5535.0,1.0
"b[Female, Dep_1]",-0.926,0.214,-1.27,-0.565,0.002,0.002,11468.0,5334.0,1.0
"b[Female, Dep_2]",-0.621,0.213,-0.967,-0.268,0.002,0.002,11033.0,5969.0,1.0
"b[Female, Dep_3]",-0.507,0.205,-0.838,-0.163,0.002,0.002,10613.0,5260.0,1.0
"b[Female, Dep_4]",-0.663,0.202,-1.006,-0.35,0.002,0.001,11480.0,5083.0,1.0
"b[Female, Dep_5]",-0.477,0.227,-0.832,-0.078,0.002,0.002,11212.0,6025.0,1.0
"b[Female, Dep_6]",-0.553,0.231,-0.933,-0.192,0.002,0.002,10526.0,5020.0,1.0
"b[Female, Dep_7]",-0.642,0.229,-1.031,-0.28,0.002,0.002,11115.0,5867.0,1.0
"b[Female, Dep_8]",-0.601,0.294,-1.062,-0.101,0.003,0.002,12084.0,6224.0,1.0
"b[Female, Dep_9]",-0.772,0.3,-1.278,-0.29,0.003,0.002,10371.0,6047.0,1.0
"b[Male, Dep_1]",-0.917,0.242,-1.306,-0.52,0.002,0.002,11911.0,5726.0,1.0
"b[Male, Dep_2]",-1.149,0.245,-1.562,-0.764,0.002,0.002,11400.0,5901.0,1.0
"b[Male, Dep_3]",-0.734,0.224,-1.107,-0.368,0.002,0.002,10940.0,6120.0,1.0
"b[Male, Dep_4]",-0.875,0.234,-1.252,-0.491,0.002,0.002,11898.0,6283.0,1.0
"b[Male, Dep_5]",-0.972,0.259,-1.385,-0.533,0.002,0.002,11749.0,5514.0,1.0
"b[Male, Dep_6]",-1.221,0.262,-1.638,-0.777,0.002,0.002,11339.0,4971.0,1.0
"b[Male, Dep_7]",-0.936,0.253,-1.346,-0.517,0.002,0.002,12318.0,6031.0,1.0
"b[Male, Dep_8]",-0.884,0.307,-1.425,-0.405,0.003,0.002,11275.0,5547.0,1.0
"b[Male, Dep_9]",-0.801,0.316,-1.306,-0.27,0.003,0.002,11233.0,5549.0,1.0
