,mean,sd,hdi_5,hdi_95,comment
MAE,0.73,0.01,0.71,0.75,"On average, our predictions are ±0.73 categories away from the true values"
concordance,0.84,0.01,0.83,0.84,84.0% of predictions are within one category of the true value
kappa,-0.0,0.01,-0.03,0.02,Our predictions agree with true values -0.0% better than random chance. Note that Kappa penalizes more for larger disagreements (weighted by squared distance)
coefficients,-0.19,0.5,-1.03,0.68,Warning: Some coefficients approaching prior boundaries (at 2.5%)
