Wave,Gender,Threshold,Income,Posterior_Prob,95HDI,Observed,N
Wave6,Male,Mild,Inc5,18.000,"[12.000, 22.000]",8.000,107
Wave6,Male,Moderate,Inc1,11.000,"[6.000, 17.000]",12.000,82
Wave6,Male,Moderate,Inc2,7.000,"[3.000, 11.000]",6.000,94
Wave6,Male,Moderate,Inc3,5.000,"[1.000, 9.000]",8.000,86
Wave6,Male,Moderate,Inc4,1.000,"[0.000, 3.000]",7.000,95
Wave6,Male,Moderate,Inc5,2.000,"[0.000, 4.000]",4.000,107
Wave6,Male,Severe,Inc1,1.000,"[0.000, 2.000]",11.000,82
Wave6,Male,Severe,Inc2,0.000,"[0.000, 1.000]",5.000,94
Wave6,Male,Severe,Inc3,0.000,"[0.000, 1.000]",8.000,86
Wave6,Male,Severe,Inc4,0.000,"[0.000, 0.000]",2.000,95
Wave6,Male,Severe,Inc5,0.000,"[0.000, 0.000]",4.000,107
