age,sex,income_level,mean,sd,hdi_5%,hdi_95%
20.0,Female,Inc1,0.42575249568785956,0.08466457187844549,0.29451348432473684,0.5718965126511085
20.0,Female,Inc2,0.28053890339736176,0.017852882709611335,0.251602694435619,0.30584344814659986
20.0,Female,Inc3,0.15096400008972982,0.029567918843623586,0.10435941987735009,0.19991773169409421
20.0,Female,Inc4,0.09452164976981324,0.02733188601240143,0.052493663570111204,0.13643712274941078
20.0,Female,Inc5,0.048222951055235615,0.017092529768243617,0.02289747167591072,0.07164207571181636
21.0,Female,Inc1,0.4257336930109748,0.08459919220918834,0.2947996154467329,0.5723635932174627
21.0,Female,Inc2,0.28055282396057285,0.01784160375032283,0.25175493129449766,0.3058774799537953
21.0,Female,Inc3,0.15096951073158335,0.02954613934667183,0.09939209177895025,0.19509847052438778
21.0,Female,Inc4,0.09452204789861202,0.027311609343222132,0.05255878117006796,0.13630985989298505
21.0,Female,Inc5,0.04822192439825705,0.017080575954168568,0.023031809998206865,0.07173289319762266
22.0,Female,Inc1,0.4257149884942885,0.08453566486890962,0.2940588541696322,0.571446807881846
22.0,Female,Inc2,0.2805664071821253,0.017830723045143857,0.2518946728414899,0.30589147386149634
22.0,Female,Inc3,0.15097501117449286,0.029524949504749008,0.1066560088705254,0.20215133402910423
22.0,Female,Inc4,0.09452257432479134,0.02729194591446879,0.052623969955924554,0.1364157984216786
22.0,Female,Inc5,0.048221018824302,0.01706903904018472,0.023034091245125565,0.07172351059695259
23.0,Female,Inc1,0.42569638226390666,0.08447399478311364,0.29604769593000063,0.5731792459949581
23.0,Female,Inc2,0.28057965287961517,0.017820240447603865,0.2520341976576729,0.3059267523527068
23.0,Female,Inc3,0.15098050142012673,0.029504351182390604,0.10446217831523308,0.20009117502250007
23.0,Female,Inc4,0.09452322909245081,0.027272897186497457,0.05286047436224495,0.13666532723623037
23.0,Female,Inc5,0.0482202343439006,0.017057919633879478,0.023275280060918835,0.07192406458768097
24.0,Female,Inc1,0.4256778744444647,0.08441418674150315,0.2958218454472417,0.5726153387960866
24.0,Female,Inc2,0.28059256087496376,0.017810155799789774,0.25211448430511896,0.3059689660554067
24.0,Female,Inc3,0.15098598146834302,0.02948434619471372,0.0993254625389397,0.19496456444353272
24.0,Female,Inc4,0.09452401224421336,0.027254464583031615,0.052754561297098324,0.13648396629449322
24.0,Female,Inc5,0.04821957096801526,0.017047218328472172,0.023410168615514815,0.0720453376195681
25.0,Female,Inc1,0.4256594651591222,0.08435624539639384,0.2960463461347541,0.5722461302447134
25.0,Female,Inc2,0.2806051309944256,0.017800468932490248,0.2520614620377115,0.3060108420901848
25.0,Female,Inc3,0.1509914513171865,0.029464936306828497,0.10656937774730058,0.20222587841692075
25.0,Female,Inc4,0.09452492382122449,0.027236649490734365,0.05269353517479236,0.1362041803417232
25.0,Female,Inc5,0.04821902870804117,0.017036935702620548,0.023040936309708937,0.07167955102866541
26.0,Female,Inc1,0.4256411545295588,0.08430017526116632,0.2962326940529308,0.5717823592060267
26.0,Female,Inc2,0.2806173630685977,0.017791179665342258,0.25382539792280867,0.30787773923662587
26.0,Female,Inc3,0.15099691096288545,0.029446123233262084,0.10669610406373387,0.2022507097657209
26.0,Female,Inc4,0.09452596386315137,0.02721945325878997,0.05258325490238247,0.13572337280816837
26.0,Female,Inc5,0.048218607575806705,0.017027072320231817,0.022893288916486898,0.0715575820976847
27.0,Female,Inc1,0.4256229426759689,0.08424598070875666,0.29634921375919115,0.5713828217160688
27.0,Female,Inc2,0.28062925693242685,0.01778228780697999,0.2539236676112365,0.3078099484348912
27.0,Female,Inc3,0.1510023603998485,0.02942790863739587,0.09952190064391497,0.19500223616595647
27.0,Female,Inc4,0.09452713240818188,0.027202877198494905,0.05253169390439849,0.13576695291159957
27.0,Female,Inc5,0.048218307583573816,0.017017628730278667,0.023308889807070687,0.07197284858547448
28.0,Female,Inc1,0.42560482971705743,0.08419366597018685,0.2964246209850799,0.5714178926101746
28.0,Female,Inc2,0.2806408124252183,0.017773793155185996,0.25387786064981455,0.30774118284593915
28.0,Female,Inc3,0.15100779962066213,0.02941029413091601,0.09955810762609152,0.1949881712425785
28.0,Female,Inc4,0.09452842949302372,0.027186922582858944,0.052699190946489116,0.13590748540513353
28.0,Female,Inc5,0.04821812874403848,0.017008605466620242,0.02331729964315543,0.07199201609468386
29.0,Female,Inc1,0.42558681577003504,0.0841432351331359,0.29650003931345387,0.5717171200201567
29.0,Female,Inc2,0.2806520293906428,0.01776569549704436,0.25241759446953915,0.30617496602203725
29.0,Female,Inc3,0.1510132286160876,0.029393281273278025,0.09958242283241936,0.19506066343056605
29.0,Female,Inc4,0.09452985515290348,0.02717159064621629,0.05266669075971231,0.135760403786768
29.0,Female,Inc5,0.04821807107033102,0.01700000304782825,0.023554085698063387,0.07224930243897465
30.0,Female,Inc1,0.4255689009506139,0.08409469214055316,0.2956537532687281,0.5708195617088829
30.0,Female,Inc2,0.28066290767674523,0.017757994609095967,0.25229870880692384,0.30600497971229823
30.0,Female,Inc3,0.15101864737505852,0.029376871571185615,0.09942795418373551,0.1948795732943106
30.0,Female,Inc4,0.09453140942156577,0.02715688258384732,0.052650285484567405,0.1359365513776125
30.0,Female,Inc5,0.04821813457601655,0.016991821977018307,0.02348019991218675,0.07220952988375984
31.0,Female,Inc1,0.42555108537300307,0.08404804078931467,0.29529310691767174,0.5697837459827084
31.0,Female,Inc2,0.28067344713595116,0.01775069025749561,0.2521166703523613,0.3057770498116485
31.0,Female,Inc3,0.15102405588467832,0.02936106647808418,0.0992736280617057,0.1948178720814231
31.0,Female,Inc4,0.09453309233127219,0.027142799551611006,0.05023592857277437,0.13364899438821543
31.0,Female,Inc5,0.04821831927509527,0.01698406274168671,0.02258445835130385,0.07134612297255138
32.0,Female,Inc1,0.42553336914990414,0.08400328472892357,0.29587450454518016,0.5695927854759316
32.0,Female,Inc2,0.2806836476250747,0.017743782198170903,0.2520605578285251,0.30582712251910166
32.0,Female,Inc3,0.1510294541302178,0.029345867393669452,0.09908162723275626,0.19460637651239454
32.0,Female,Inc4,0.09453490391280048,0.027129342665588464,0.05030545370080308,0.13346788220104833
32.0,Female,Inc5,0.048218625182002844,0.016976725813552633,0.022647346149061942,0.07135139011283187
33.0,Female,Inc1,0.42551575239250744,0.08396042746025578,0.29566560161827676,0.5697656277805849
33.0,Female,Inc2,0.2806935090053253,0.017737270176982876,0.2521579053030968,0.3060415143817195
33.0,Female,Inc3,0.15103484209511303,0.02933127566341147,0.09914548802909573,0.19474867417498132
33.0,Female,Inc4,0.09453684419544353,0.02711651300173771,0.05027369506341317,0.1332833002128766
33.0,Female,Inc5,0.048219052311610694,0.01696981164840606,0.022710404992894895,0.07135665761208088
34.0,Female,Inc1,0.42549823521048713,0.08391947233435182,0.2964530822469463,0.570505853170068
34.0,Female,Inc2,0.2807030311423151,0.017731153929888114,0.2533376063438625,0.3073081663201942
34.0,Female,Inc3,0.15104021976096305,0.029317292578094498,0.10298417246672287,0.19838941818616163
34.0,Female,Inc4,0.09453891320700845,0.027104311595560083,0.0502722690030466,0.13339350014097606
34.0,Female,Inc5,0.04821960067922635,0.016963320685961306,0.02277363532533694,0.07136192547031917
35.0,Female,Inc1,0.4254808177119976,0.08388042255125575,0.29665310976890114,0.5704274171749865
35.0,Female,Inc2,0.2807122139060651,0.01772543318310241,0.25259788425628915,0.30654801391882464
35.0,Female,Inc3,0.15104558710752805,0.02930391937337296,0.10298299224655771,0.19821257528741565
35.0,Female,Inc4,0.09454111097381561,0.027092739441778466,0.04974120868040677,0.13285228502800295
35.0,Female,Inc5,0.04822027030059367,0.016957253349716553,0.022837037589940268,0.07140162836512054
36.0,Female,Inc1,0.4254635000036694,0.08384328115890209,0.2968532153094146,0.5705498978800339
36.0,Female,Inc2,0.28072105717101226,0.0177201076532657,0.2527177141761824,0.3065311457890776
36.0,Female,Inc3,0.15105094411272743,0.029291157229344,0.10285925926874195,0.19811491854860475
36.0,Female,Inc4,0.09454343752069767,0.02708179749402757,0.05163230014092002,0.13475106162213668
36.0,Female,Inc5,0.04822106119189324,0.01695161004681916,0.022886319308896286,0.0715153971988094
37.0,Female,Inc1,0.4254462821906052,0.08380805105205193,0.29705339882209697,0.5711517480949101
37.0,Female,Inc2,0.2807295608160157,0.017715177047608305,0.25274787190816905,0.3065136825355385
37.0,Female,Inc3,0.15105629075263796,0.029279007270136756,0.1029421555558434,0.19804003984728613
37.0,Female,Inc4,0.09454589287099863,0.027071486664556558,0.0497662289603239,0.13283117163457947
37.0,Female,Inc5,0.048221973369742516,0.016946391167937152,0.02288562246211434,0.07162933332470478
38.0,Female,Inc1,0.4254291643763759,0.08377473497127856,0.2971793034708427,0.5717533879390022
38.0,Female,Inc2,0.2807377247243629,0.01771064106411819,0.25410066614843196,0.30779263404826573
38.0,Female,Inc3,0.1510616270014923,0.029267470563518895,0.10302509139967453,0.1981543867674097
38.0,Female,Inc4,0.09454847704657282,0.02706180782394417,0.051381548789465326,0.1345370525505839
38.0,Female,Inc5,0.04822300685119613,0.016941597087136814,0.022884925636053155,0.07170763072596076
39.0,Female,Inc1,0.42541214666301685,0.08374333550200407,0.2972548326873444,0.5718349457801445
39.0,Female,Inc2,0.28074554878377556,0.017706499391709343,0.25423664415833536,0.3078020837608895
39.0,Female,Inc3,0.15106695283167737,0.02925654812052049,0.10348678122107846,0.19851611236325828
39.0,Female,Inc4,0.09455119006778395,0.027052761800826657,0.051335550080764736,0.1344448470792251
39.0,Female,Inc5,0.04822416165374616,0.016937228161766543,0.024614975096734604,0.07338586994051832
40.0,Female,Inc1,0.4253952291510242,0.08371385507358708,0.29733037297893833,0.5718055716575688
40.0,Female,Inc2,0.280753032886416,0.017702751710390964,0.2542336314653082,0.3078114914003629
40.0,Female,Inc3,0.15107226821373332,0.02924624089507577,0.10291331445833696,0.19772321341047017
40.0,Female,Inc4,0.09455403195350412,0.027044349381638653,0.051206481877534515,0.1341762175773349
40.0,Female,Inc5,0.048225437795322276,0.016933284732347,0.024724980587320866,0.07348664423869133
41.0,Female,Inc1,0.4253784119393512,0.08368629595846293,0.29740592434312113,0.5717761970288936
