,mean,sd,hdi_5,hdi_95,comment
MAE,0.79,0.01,0.77,0.81,"On average, our predictions are ±0.79 categories away from the true values"
concordance,0.81,0.0,0.8,0.81,81.0% of predictions are within one category of the true value
kappa,-0.01,0.01,-0.03,0.0,Our predictions agree with true values -1.0% better than random chance. Note that Kappa penalizes more for larger disagreements (weighted by squared distance)
coefficients,-0.24,0.37,-0.88,0.38,95% of all coefficients well within prior ranges
