Score,Gender,Income,Age-range,Mean,SD,HDI_5%,HDI_95%
S0,Female,Inc1,18-34,0.7495012888939828,0.01096390402467659,0.7326490456601504,0.7688360132146511
S1,Female,Inc1,18-34,0.18894255265167567,0.009758953308993824,0.1730833235088041,0.20518463756463848
S2,Female,Inc1,18-34,0.03773881511693692,0.004442885848067836,0.03081129324354746,0.04550445814880749
S3,Female,Inc1,18-34,0.023817343337404494,0.0032020824184002226,0.018387243464912755,0.02883941125702481
S0,Male,Inc1,18-34,0.7675892482956607,0.011420610272099837,0.7489175053902093,0.7861732809398587
S1,Male,Inc1,18-34,0.17238053559703656,0.010131046009975105,0.15549421662420548,0.18877426738459613
S2,Male,Inc1,18-34,0.03666435795202409,0.004700744735831551,0.028746258789131427,0.04425069004929028
S3,Male,Inc1,18-34,0.023365858155278703,0.0035701905442729383,0.01742360871439706,0.029019212118544177
S0,Female,Inc2,18-34,0.7671101082572557,0.010311517728727689,0.7488544332865127,0.7825573008728751
S1,Female,Inc2,18-34,0.1687157163161097,0.00843578319957147,0.15465558086826459,0.182240645583239
S2,Female,Inc2,18-34,0.036318626279542444,0.003952411099879264,0.030245263673512417,0.04318400335527519
S3,Female,Inc2,18-34,0.02785554914709227,0.0033869132466668697,0.02215810388685285,0.03329915643036777
S0,Male,Inc2,18-34,0.759533482667453,0.008966801635202816,0.7451681040097039,0.7744888490026993
S1,Male,Inc2,18-34,0.1735744555024017,0.007846365852086213,0.16125229085921847,0.18682173226923776
S2,Male,Inc2,18-34,0.038246423530126916,0.003786405781723778,0.03226693820594865,0.04462577193630279
S3,Male,Inc2,18-34,0.0286456383000184,0.003196952038023758,0.023210086219746275,0.03355280308741155
S0,Female,Inc3,18-34,0.6974821158736534,0.011845889357520656,0.6792220092845694,0.7175921461072637
S1,Female,Inc3,18-34,0.23394078560829465,0.010584209043867147,0.21630900401225348,0.250799902860764
S2,Female,Inc3,18-34,0.04206006281703316,0.004580515612656247,0.03461068916234314,0.049540566231410746
S3,Female,Inc3,18-34,0.026517035701018814,0.00364516801340309,0.020957558125665347,0.0328178993992668
S0,Male,Inc3,18-34,0.7019199088276796,0.010769862296858761,0.6839324015450323,0.7191743319742923
S1,Male,Inc3,18-34,0.22910145519029476,0.009652688252437395,0.2134398482241026,0.24520220544769789
S2,Male,Inc3,18-34,0.04218956594507893,0.004080800695192079,0.03546398243842889,0.048694856274486435
S3,Male,Inc3,18-34,0.02678907003694669,0.003203554090414269,0.021594575593443743,0.031983104589865974
S0,Female,Inc4,18-34,0.7709207254937835,0.010078866910943835,0.7548418939867582,0.7877296348295489
