Mean,SD,HDI_5,HDI_95,Effect,Sex,Question
0.093,0.049,0.021,0.175,Mediator,Female,Q7
0.094,0.048,0.058,0.241,Mediator,Female,Q1
0.098,0.05,0.013,0.169,Mediator,Female,Q2
0.106,0.049,0.031,0.199,Mediator,Female,Q6
0.063,0.037,0.025,0.188,Mediator,Female,Q3
0.064,0.051,0.056,0.221,Mediator,Female,Q4
0.11,0.046,0.03,0.184,Mediator,Female,Q5
0.143,0.054,0.031,0.204,Mediator,Male,Q7
0.124,0.051,-0.001,0.121,Mediator,Male,Q1
0.144,0.052,-0.064,0.077,Mediator,Male,Q2
0.12,0.054,-0.008,0.152,Mediator,Male,Q6
0.013,0.044,0.008,0.173,Mediator,Male,Q3
0.093,0.051,0.039,0.188,Mediator,Male,Q4
0.122,0.049,0.045,0.201,Mediator,Male,Q5
0.194,0.087,0.047,0.324,Direct,Female,Q7
0.157,0.084,0.066,0.384,Direct,Female,Q1
0.172,0.086,0.024,0.29,Direct,Female,Q2
0.104,0.086,0.068,0.365,Direct,Female,Q6
0.068,0.062,0.041,0.324,Direct,Female,Q3
0.201,0.083,0.086,0.396,Direct,Female,Q4
0.086,0.073,-0.028,0.25,Direct,Female,Q5
0.231,0.099,0.053,0.384,Direct,Male,Q7
0.206,0.094,-0.019,0.18,Direct,Male,Q1
0.233,0.094,0.068,0.433,Direct,Male,Q2
0.212,0.101,0.077,0.35,Direct,Male,Q6
0.253,0.11,-0.041,0.299,Direct,Male,Q3
0.141,0.104,-0.026,0.212,Direct,Male,Q4
0.157,0.087,0.01,0.288,Direct,Male,Q5
-0.00075,0.00077,-0.0019,0.00029,Indirect,Female,Q7
-0.00076,0.00076,-0.00542,-0.00027,Indirect,Female,Q1
-0.00079,0.00079,-0.0019,0.00019,Indirect,Female,Q2
-0.00084,0.00081,-0.0046,-0.00018,Indirect,Female,Q6
-0.00051,0.00054,-0.0021,0.00019,Indirect,Female,Q3
-0.00051,0.00062,-0.00524,-0.00014,Indirect,Female,Q4
-0.00088,0.00082,-0.00211,0.00023,Indirect,Female,Q5
-0.00282,0.0019,-0.00458,-0.0,Indirect,Male,Q7
-0.00244,0.00169,-0.00131,0.00025,Indirect,Male,Q1
-0.00282,0.00179,-0.00166,0.00136,Indirect,Male,Q2
-0.00235,0.00167,-0.00147,0.00033,Indirect,Male,Q6
-0.00024,0.00093,-0.00399,0.00021,Indirect,Male,Q3
-0.00185,0.00151,-0.00227,0.00017,Indirect,Male,Q4
-0.0024,0.00157,-0.00452,-0.00011,Indirect,Male,Q5
0.194,0.087,0.047,0.324,Total,Female,Q7
0.157,0.084,0.054,0.373,Total,Female,Q1
0.172,0.086,0.024,0.291,Total,Female,Q2
0.103,0.086,0.065,0.363,Total,Female,Q6
0.067,0.062,0.037,0.321,Total,Female,Q3
0.201,0.083,0.083,0.392,Total,Female,Q4
0.085,0.073,-0.028,0.249,Total,Female,Q5
0.228,0.099,0.042,0.373,Total,Male,Q7
0.204,0.094,-0.018,0.181,Total,Male,Q1
0.231,0.094,0.068,0.433,Total,Male,Q2
0.21,0.101,0.075,0.348,Total,Male,Q6
0.253,0.111,-0.045,0.297,Total,Male,Q3
0.139,0.104,-0.028,0.21,Total,Male,Q4
0.155,0.087,0.007,0.284,Total,Male,Q5
