Gender,Income,m_0,90%HDI_0,m_1,90%HDI_1,m_2,90%HDI_2,m_3,90%HDI_3
Female,£0 - £300,0.58,"0.53, 0.64",0.26,"0.22, 0.29",0.09,"0.07, 0.12",0.07,"0.05, 0.08"
Female,£301 - £490,0.51,"0.45, 0.56",0.28,"0.25, 0.32",0.12,"0.09, 0.14",0.09,"0.07, 0.12"
Female,£491 - £740 ,0.55,"0.49, 0.6",0.27,"0.23, 0.3",0.11,"0.08, 0.13",0.08,"0.06, 0.1"
Female,"£741 - £1,111",0.56,"0.5, 0.62",0.26,"0.23, 0.3",0.1,"0.08, 0.13",0.07,"0.05, 0.1"
Female,"£1,112 or more",0.54,"0.48, 0.61",0.27,"0.24, 0.31",0.11,"0.08, 0.13",0.08,"0.05, 0.1"
Male,£0 - £300,0.58,"0.52, 0.64",0.26,"0.22, 0.29",0.1,"0.07, 0.12",0.07,"0.05, 0.09"
Male,£301 - £490,0.62,"0.57, 0.67",0.24,"0.2, 0.27",0.08,"0.06, 0.1",0.06,"0.04, 0.08"
Male,£491 - £740 ,0.65,"0.6, 0.7",0.22,"0.19, 0.26",0.07,"0.06, 0.09",0.05,"0.04, 0.07"
Male,"£741 - £1,111",0.73,"0.68, 0.78",0.18,"0.15, 0.22",0.05,"0.04, 0.07",0.03,"0.02, 0.05"
Male,"£1,112 or more",0.7,"0.64, 0.76",0.2,"0.16, 0.23",0.06,"0.04, 0.08",0.04,"0.03, 0.05"
