Effect,Sex,Mean,SD,HDI_5,HDI_95
Mediator,Female,-0.069,0.058,-0.163,0.027
Mediator,Male,0.15,0.062,0.051,0.254
Direct,Female,0.216,0.128,0.013,0.426
Direct,Male,0.333,0.118,0.15,0.536
Indirect,Female,0.0003,0.00057,-0.00039,0.00121
Indirect,Male,-0.00131,0.00147,-0.00364,0.00084
Total,Female,0.216,0.128,0.014,0.427
Total,Male,0.332,0.118,0.149,0.535
