wave,gender,income_comparison,age,mean_effect,std,sem,hdi_5,hdi_95
Wave-1,Female,£0-£300→£301-£490,18.0,-0.01726962022850255,0.016163659363620915,0.0005111397891214986,-0.04436329980204263,0.006549850050482493
Wave-1,Female,£0-£300→£301-£490,19.03174603174603,-0.01731476735418825,0.016187866442421234,0.0005119052841665805,-0.044474155701104544,0.0065023816762364494
Wave-1,Female,£0-£300→£301-£490,20.063492063492063,-0.017359031287040628,0.016210891258061688,0.0005126333927678735,-0.04458138788577753,0.00650477223284544
Wave-1,Female,£0-£300→£301-£490,21.095238095238095,-0.017402379289098227,0.016232709101748448,0.0005133233335647103,-0.04467650782959856,0.006494215326446886
Wave-1,Female,£0-£300→£301-£490,22.126984126984127,-0.017444778662164897,0.01625329589468863,0.0005139743451188028,-0.044763476979348904,0.006499621073883288
Wave-1,Female,£0-£300→£301-£490,23.158730158730158,-0.01748619680376387,0.01627262823930223,0.0005145856875337056,-0.044846722457989985,0.006507185851209451
Wave-1,Female,£0-£300→£301-£490,24.19047619047619,-0.017526601264862444,0.016290683470738743,0.000515156644083914,-0.04502319151538564,0.006505838670422481
Wave-1,Female,£0-£300→£301-£490,25.22222222222222,-0.017565959809225894,0.016307439708544945,0.0005156865228487442,-0.045242495893956736,0.0065029559595380084
Wave-1,Female,£0-£300→£301-£490,26.253968253968253,-0.017604240474243787,0.016322875908318164,0.0005161746583457517,-0.04536947681175561,0.006498551512096107
Wave-1,Female,£0-£300→£301-£490,27.285714285714285,-0.017641411633056676,0.016336971913166905,0.0005166204131580597,-0.04531243144261447,0.006492641180127308
Wave-1,Female,£0-£300→£301-£490,28.317460317460316,-0.01767744205779609,0.01634970850478893,0.00051702317954959,-0.045252036804866634,0.0064852428366864836
Wave-1,Female,£0-£300→£301-£490,29.349206349206348,-0.017712300983736266,0.016361067453965494,0.0005173823810618302,-0.04527346416071911,0.006476376333298974
Wave-1,Female,£0-£300→£301-£490,30.380952380952383,-0.017745958174141777,0.016371031570259702,0.0005176974740854352,-0.04535829262307151,0.006453813859926199
Wave-1,Female,£0-£300→£301-£490,31.412698412698415,-0.017778383985581882,0.016379584750697233,0.0005179679493996451,-0.04543908063140091,0.006421774278208769
Wave-1,Female,£0-£300→£301-£490,32.44444444444444,-0.017809549433469848,0.016386712027198845,0.0005181933336722341,-0.04551566870901283,0.006420129943792587
Wave-1,Female,£0-£300→£301-£490,33.47619047619048,-0.01783942625757381,0.016392399612526646,0.0005183731909124581,-0.04558278771788281,0.006417033977986176
Wave-1,Female,£0-£300→£301-£490,34.507936507936506,-0.017867986987235518,0.01639663494450001,0.0005185071238692858,-0.045584060780364595,0.006402671962193701
Wave-1,Female,£0-£300→£301-£490,35.539682539682545,-0.01789520500602409,0.016399406728232653,0.0005185947753670513,-0.04558216407454493,0.0063852807437655545
Wave-1,Female,£0-£300→£301-£490,36.57142857142857,-0.01792105461554467,0.0164007049761399,0.0005186358295705958,-0.045577087493071176,0.006366594176989136
Wave-1,Female,£0-£300→£301-£490,37.60317460317461,-0.017945511098115978,0.016400521045464488,0.000518630013171937,-0.04560241994592049,0.006346645358549367
Wave-1,Female,£0-£300→£301-£490,38.63492063492063,-0.01796855077802697,0.016398847673071235,0.0005185770964905738,-0.04562637488954365,0.006326201340702695
