Effect,Sex,Mean,SD,HDI_5,HDI_95
Mediator,Male,0.112,0.056,0.026,0.207
Mediator,Female,0.228,0.071,0.108,0.339
Direct,Male,0.314,0.098,0.152,0.47
Direct,Female,0.265,0.1,0.101,0.424
Indirect,Male,0.00724,0.00465,0.00032,0.01456
Indirect,Female,0.02089,0.00969,0.00569,0.036
Total,Male,0.321,0.098,0.155,0.473
Total,Female,0.286,0.101,0.123,0.448
